Type,Description,Quantité,Unité,Prix unitaire HT,Total HT
Informations client,,,,,
Nom du client:,,,,,
Date du devis:,,,,,
Référence projet:,,,,,

Configuration,,,,,
Majoration weekend (20%):,NON,,,,
Majoration urgence (25%):,NON,,,,
Résine choisie:,Standard,,,,

Prestations,,,,,
Conception / Modélisation,0,Heures,65,=B11*D11
Impression - Résine (Standard),0,Litres,150,=B12*D12
Impression - Machine,0,Heures,5,=B13*D13
Post-traitement,0,Heures,40,=B14*D14

Majorations,,,,,
Majoration weekend,,,,=SI(B7="OUI";SOMME(E11;E14)*0.2;0),
Majoration urgence,,,,=SI(B8="OUI";SOMME(E11;E14)*0.25;0),

Totaux,,,,,
Total HT,,,,=SOMME(E11:E16),
TVA (20%),,,,=E19*0.2,
Total TTC,,,,=E19+E20,